sample,Watergr,O1,O7,O2238,O3,O4,O6,O2,O11,O5,O8,O4580,O9,O14,O20,O28,O24,O16,O15,O26,O25
S1,2,305,7,3,6715,4725,7127,3,8,14,34,2191,335,1068,9,0,42,395,0,0,2
S10,1,9594,14,2900,902,1350,83,2938,45,836,242,59,852,733,22,134,41,111,567,39,23
S11,1,13457,39,4630,511,1770,89,2682,38,637,554,99,708,493,87,106,168,315,1027,92,63
S12,1,11771,49,6743,759,1379,129,6129,30,1067,608,61,1571,1195,100,263,293,614,582,106,62
S13,1,6551,7,2830,658,803,53,4143,7,765,87,31,1192,685,6,181,17,71,368,20,16
S14,3,2977,40,5553,59,257,21,2062,90,139,678,16,1264,237,61,631,21,146,224,244,201
S15,1,7287,12,1527,931,1270,135,1739,10,663,172,51,272,464,16,83,53,60,440,21,19
S16,1,14662,11,3877,1015,2024,189,3184,29,978,321,87,815,854,47,159,94,138,940,24,24
S17,1,9936,23,1847,502,1742,154,1214,19,349,362,80,186,330,52,33,206,145,682,24,18
S18,1,9272,24,3566,572,1469,109,3619,6,722,165,54,1053,530,34,151,109,155,606,54,47
S19,3,2765,935,4161,0,457,15,129,344,34,610,0,1,389,208,1,532,494,272,235,241
S20,3,1815,1669,2426,0,314,11,74,761,1,1110,11,20,163,241,11,257,281,232,314,268
S21,3,346,2411,423,2,128,1,83,1072,0,837,4,0,33,322,1,115,168,55,166,215
S22,3,989,3157,1059,10,246,4,259,1479,30,1647,3,1,137,449,0,292,289,237,413,373
S23,3,652,8523,846,247,356,176,83,2861,14,1592,77,20,78,808,2,132,136,97,271,260
S24,2,180,4,4,3900,4273,3360,9,1,41,30,1506,103,591,4,0,34,43,1,1,3
S25,2,173,1,2,3316,2755,2371,6,5,51,35,1099,66,507,2,0,37,29,0,1,3
S3,1,12714,4,806,2512,3739,110,3473,15,5496,98,102,175,1038,7,96,26,20,1198,21,8
S4,2,362,2,7,7298,4618,3865,26,2,178,11,1707,95,1042,2,42,12,22,0,1,3
S6,1,8400,13,2594,1607,1378,160,4231,23,1355,289,80,1042,955,36,115,64,68,470,37,33
S7,1,12574,29,3951,1202,2128,225,3977,69,1009,422,109,1012,963,82,217,253,312,793,40,35
